epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0286,1.24796,1.56583,1.12779,0.93597,0.88576,0.92011,0.56959,1.25675,0.95016,1.17799,0.000665158,0.000665158,0.000665158
2,109.931,1.26483,0.87928,1.14771,0.9303,0.84556,0.90632,0.5756,1.27504,0.78998,1.20785,0.00130545,0.00130545,0.00130545
3,161.25,1.25504,0.77593,1.14948,0.94454,0.87669,0.92848,0.6037,1.24887,0.71126,1.15263,0.00191935,0.00191935,0.00191935
4,212.167,1.24281,0.74191,1.13941,0.95045,0.89137,0.93422,0.60912,1.24812,0.68783,1.16954,0.0018812,0.0018812,0.0018812
5,263.019,1.21388,0.69283,1.12206,0.95573,0.85968,0.91741,0.60965,1.22873,0.70011,1.1645,0.0018416,0.0018416,0.0018416
6,314.325,1.19681,0.65472,1.11382,0.95877,0.90055,0.94421,0.63015,1.20211,0.61711,1.13569,0.001802,0.001802,0.001802
7,365.278,1.18878,0.64408,1.11377,0.96245,0.90114,0.94217,0.63745,1.16884,0.59254,1.12131,0.0017624,0.0017624,0.0017624
8,415.999,1.16947,0.62623,1.10493,0.9752,0.91362,0.95467,0.65571,1.15907,0.55242,1.10482,0.0017228,0.0017228,0.0017228
9,466.908,1.16377,0.61279,1.09576,0.97282,0.90159,0.94615,0.63692,1.18921,0.57556,1.11511,0.0016832,0.0016832,0.0016832
10,517.202,1.14813,0.59261,1.08333,0.96561,0.9082,0.95045,0.64824,1.15672,0.53846,1.09192,0.0016436,0.0016436,0.0016436
11,567.581,1.14495,0.59151,1.08145,0.97158,0.91903,0.96112,0.65678,1.17058,0.52731,1.09804,0.001604,0.001604,0.001604
12,617.714,1.14207,0.58162,1.07881,0.97903,0.92118,0.96038,0.6538,1.1548,0.52091,1.09718,0.0015644,0.0015644,0.0015644
13,668.099,1.12145,0.56295,1.0754,0.98069,0.92566,0.96228,0.6671,1.12998,0.50194,1.07486,0.0015248,0.0015248,0.0015248
14,718.241,1.12602,0.55928,1.07499,0.9796,0.9262,0.96333,0.66708,1.13848,0.50108,1.08546,0.0014852,0.0014852,0.0014852
15,768.739,1.12224,0.54895,1.07443,0.97221,0.92446,0.9604,0.67179,1.11558,0.49646,1.07885,0.0014456,0.0014456,0.0014456
16,819.123,1.10603,0.54459,1.0642,0.97414,0.91936,0.95995,0.67245,1.11537,0.49489,1.07561,0.001406,0.001406,0.001406
17,869.87,1.10964,0.539,1.06616,0.98259,0.9254,0.96531,0.66313,1.13906,0.493,1.08585,0.0013664,0.0013664,0.0013664
18,920.477,1.11694,0.53555,1.0701,0.9799,0.92392,0.96582,0.67593,1.10726,0.49216,1.05821,0.0013268,0.0013268,0.0013268
19,971.017,1.08969,0.52187,1.05498,0.97377,0.93021,0.96533,0.67922,1.11183,0.47975,1.0633,0.0012872,0.0012872,0.0012872
20,1021.65,1.09367,0.52727,1.05798,0.98339,0.9262,0.96629,0.68747,1.09894,0.46913,1.06165,0.0012476,0.0012476,0.0012476
21,1072.57,1.10235,0.51812,1.06131,0.98172,0.92963,0.96276,0.67939,1.10168,0.46272,1.06165,0.001208,0.001208,0.001208
22,1123.37,1.09083,0.51789,1.0569,0.97675,0.93788,0.96853,0.68446,1.09808,0.45825,1.06003,0.0011684,0.0011684,0.0011684
23,1174.09,1.08123,0.509,1.05205,0.99013,0.93349,0.9697,0.69313,1.09168,0.44846,1.04993,0.0011288,0.0011288,0.0011288
24,1224.94,1.0762,0.50033,1.04631,0.97389,0.9345,0.96554,0.68762,1.0943,0.45268,1.05142,0.0010892,0.0010892,0.0010892
25,1275.53,1.07166,0.49951,1.04124,0.98079,0.93033,0.96604,0.68438,1.10419,0.45239,1.05257,0.0010496,0.0010496,0.0010496
26,1326.21,1.0608,0.4949,1.0369,0.96735,0.94533,0.97134,0.69211,1.08303,0.43754,1.04617,0.00101,0.00101,0.00101
27,1376.49,1.06865,0.49056,1.0463,0.97906,0.93394,0.96544,0.69557,1.08236,0.43753,1.05055,0.0009704,0.0009704,0.0009704
28,1427.56,1.06065,0.48774,1.03747,0.97593,0.94215,0.96822,0.69664,1.08572,0.43539,1.04595,0.0009308,0.0009308,0.0009308
29,1478.59,1.0479,0.47742,1.03736,0.98143,0.93922,0.97055,0.6958,1.08004,0.43866,1.04642,0.0008912,0.0008912,0.0008912
30,1529.36,1.0503,0.47919,1.03442,0.98185,0.93657,0.97094,0.7008,1.06974,0.42571,1.04402,0.0008516,0.0008516,0.0008516
31,1580.27,1.04197,0.46996,1.03404,0.97597,0.9437,0.96771,0.6961,1.07823,0.42872,1.04353,0.000812,0.000812,0.000812
32,1631.21,1.04174,0.46527,1.03172,0.98094,0.93774,0.97093,0.70256,1.06738,0.4335,1.04153,0.0007724,0.0007724,0.0007724
33,1684.79,1.03815,0.46368,1.03572,0.97912,0.93983,0.96791,0.69975,1.06321,0.42347,1.03886,0.0007328,0.0007328,0.0007328
34,1736.68,1.04215,0.46283,1.03223,0.97942,0.94032,0.96844,0.70116,1.0619,0.41641,1.0377,0.0006932,0.0006932,0.0006932
35,1786.83,1.04137,0.4628,1.02838,0.97829,0.94438,0.97221,0.70571,1.05747,0.41151,1.03717,0.0006536,0.0006536,0.0006536
36,1836.82,1.02519,0.45274,1.02924,0.98017,0.94564,0.97572,0.70753,1.06125,0.40255,1.03712,0.000614,0.000614,0.000614
37,1886.99,1.02752,0.45102,1.03164,0.98174,0.94442,0.97092,0.7042,1.05947,0.40626,1.03312,0.0005744,0.0005744,0.0005744
38,1937.78,1.0217,0.4461,1.02995,0.98468,0.93695,0.97181,0.70829,1.05468,0.40522,1.03266,0.0005348,0.0005348,0.0005348
39,1988.58,1.01362,0.44073,1.01888,0.98709,0.9426,0.97122,0.70542,1.06085,0.40069,1.03859,0.0004952,0.0004952,0.0004952
40,2038.95,1.0037,0.43902,1.01393,0.98594,0.94305,0.97403,0.70399,1.05984,0.40053,1.03656,0.0004556,0.0004556,0.0004556
41,2103.11,1.00702,0.39709,1.03299,0.98617,0.9426,0.97063,0.70366,1.05351,0.40001,1.03332,0.000416,0.000416,0.000416
42,2153.14,1.00572,0.39343,1.03023,0.98342,0.94605,0.97328,0.7081,1.05554,0.40021,1.03341,0.0003764,0.0003764,0.0003764
43,2203.85,0.99032,0.38832,1.02334,0.98035,0.94305,0.97048,0.70538,1.05742,0.3993,1.03464,0.0003368,0.0003368,0.0003368
44,2254.51,0.99069,0.38588,1.02123,0.9838,0.94081,0.97054,0.70716,1.05144,0.39823,1.03154,0.0002972,0.0002972,0.0002972
45,2305.34,0.98269,0.37953,1.0177,0.98898,0.94043,0.97466,0.71174,1.05514,0.39137,1.0301,0.0002576,0.0002576,0.0002576
46,2356.07,0.97741,0.37447,1.01542,0.98814,0.94032,0.97478,0.7123,1.0462,0.38874,1.02779,0.000218,0.000218,0.000218
47,2407.04,0.96724,0.37063,1.01153,0.98703,0.94305,0.97475,0.71058,1.05194,0.38942,1.02895,0.0001784,0.0001784,0.0001784
48,2457.43,0.96234,0.36435,1.01008,0.98433,0.94428,0.97539,0.71271,1.04441,0.38534,1.0263,0.0001388,0.0001388,0.0001388
49,2508.42,0.95728,0.36241,1.00692,0.98665,0.94278,0.97319,0.71257,1.04861,0.38658,1.02799,9.92e-05,9.92e-05,9.92e-05
50,2558.04,0.95326,0.35958,1.00333,0.98759,0.94296,0.97379,0.71363,1.04745,0.38581,1.02743,5.96e-05,5.96e-05,5.96e-05
